Model,Architecture,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s),model_path,history_path,device_info
RNN_relu_Adam_seq25_noclip,RNN,relu,Adam,25,No,0.70864,0.7082768985568527,4.980124378204346,results/RNN_relu_Adam_seq25_noclip.pt,results/RNN_relu_Adam_seq25_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_Adam_seq25_clip,RNN,relu,Adam,25,Yes,0.71356,0.7135399794237459,5.3319470405578615,results/RNN_relu_Adam_seq25_clip.pt,results/RNN_relu_Adam_seq25_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_Adam_seq50_noclip,RNN,relu,Adam,50,No,0.75424,0.7530353991405542,7.56300983428955,results/RNN_relu_Adam_seq50_noclip.pt,results/RNN_relu_Adam_seq50_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_Adam_seq50_clip,RNN,relu,Adam,50,Yes,0.75992,0.7594727794647224,8.47272367477417,results/RNN_relu_Adam_seq50_clip.pt,results/RNN_relu_Adam_seq50_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_SGD_seq25_noclip,RNN,relu,SGD,25,No,0.50008,0.33358214639503964,3.915151500701904,results/RNN_relu_SGD_seq25_noclip.pt,results/RNN_relu_SGD_seq25_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_SGD_seq25_clip,RNN,relu,SGD,25,Yes,0.50008,0.33358214639503964,4.229924440383911,results/RNN_relu_SGD_seq25_clip.pt,results/RNN_relu_SGD_seq25_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_SGD_seq50_noclip,RNN,relu,SGD,50,No,0.5,0.3333333333333333,6.524456000328064,results/RNN_relu_SGD_seq50_noclip.pt,results/RNN_relu_SGD_seq50_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_SGD_seq50_clip,RNN,relu,SGD,50,Yes,0.5,0.3333333333333333,6.873214197158814,results/RNN_relu_SGD_seq50_clip.pt,results/RNN_relu_SGD_seq50_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_RMSProp_seq25_noclip,RNN,relu,RMSProp,25,No,0.72276,0.7227516741218745,4.8574676513671875,results/RNN_relu_RMSProp_seq25_noclip.pt,results/RNN_relu_RMSProp_seq25_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_RMSProp_seq25_clip,RNN,relu,RMSProp,25,Yes,0.72368,0.7235099475581461,6.614206433296204,results/RNN_relu_RMSProp_seq25_clip.pt,results/RNN_relu_RMSProp_seq25_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_RMSProp_seq50_noclip,RNN,relu,RMSProp,50,No,0.7176,0.7036934787504341,8.618835878372192,results/RNN_relu_RMSProp_seq50_noclip.pt,results/RNN_relu_RMSProp_seq50_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_relu_RMSProp_seq50_clip,RNN,relu,RMSProp,50,Yes,0.76772,0.7669348871653967,9.223445463180543,results/RNN_relu_RMSProp_seq50_clip.pt,results/RNN_relu_RMSProp_seq50_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_tanh_Adam_seq25_noclip,RNN,tanh,Adam,25,No,0.70528,0.7052195516137809,6.695758271217346,results/RNN_tanh_Adam_seq25_noclip.pt,results/RNN_tanh_Adam_seq25_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_tanh_Adam_seq25_clip,RNN,tanh,Adam,25,Yes,0.70568,0.7056398426808741,15.539447212219239,results/RNN_tanh_Adam_seq25_clip.pt,results/RNN_tanh_Adam_seq25_clip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
RNN_tanh_Adam_seq50_noclip,RNN,tanh,Adam,50,No,0.74984,0.7498173258441683,11.877832698822022,results/RNN_tanh_Adam_seq50_noclip.pt,results/RNN_tanh_Adam_seq50_noclip_history.pkl,"{'device': 'cpu', 'cuda_available': False, 'ram_gb': 'unknown'}"
